CATEGORIA,ELEMENTO,CANTIDAD,UBICACION,LINK_REFERENCIA,OBSERVACIONES
Amplificador,Amplificador De Instrumantacion Ad620,35,Gabinete Parte Superior,https://www.vistronica.com/componentes-activos/amplificadores-operacionales/amplificador-de-instrumentacion-ad620an-detail.html,
Amplificador,Amplificador De Instrumantacion Ina114,40,Gabinete Parte Superior,https://www.vistronica.com/componentes-activos/amplificadores-operacionales/amplificador-de-instrumentacion-ina114ap-detail.html,
Amplificador,Amplificador Operacional Lm324,15,Gabinete Parte Superior,https://www.vistronica.com/componentes-activos/amplificadores-operacionales/amplificador-operacional-lm324n-detail.html,
Amplificador,Amplificador Operacional Lm348,40,Gabinete Parte Superior,https://www.vistronica.com/componentes-activos/amplificadores-operacionales/amplificador-operacional-lm348n-dip-detail.html,
Amplificador,Amplificador Operacional Lm358,20,Gabinete Parte Superior,https://www.vistronica.com/componentes-activos/amplificador-operacional-dual-lm358-detail.html,
Amplificador,Amplificador Operacional Lm741,15,Gabinete Parte Superior,https://www.didacticaselectronicas.com.co/shop/lm741-amplificador-operacional-lm741-ua741-7930#attr=,
Amplificador,Amplificador Operacional Tl082,105,Gabinete Parte Superior,https://www.didacticaselectronicas.com.co/shop/tl082cp-amplificador-operacional-tl082-through-hole-33591#attr=,
Amplificador,Amplificador Operacional Tl084,90,Gabinete Parte Superior,https://www.didacticaselectronicas.com.co/shop/tl084-amp-operacional-tl084-5962#attr=,
Arduino,Arduino Mega 2560 Con Ch340,8,Gabienete Parte Inferior,https://www.vistronica.com/board-de-desarrollo/arduino/board/arduino-mega-2560-con-ch340-detail.html,
Arduino,Arduino Nano ,21,Gabienete Parte Inferior,https://www.vistronica.com/board-de-desarrollo/arduino/board/arduino-nano-v3-0-ft232-detail.html,
Arduino,Arduino Uno R3 Compatible,25,Gabienete Parte Inferior,https://www.vistronica.com/board-de-desarrollo/arduino/board/arduino-uno-r3-compatible-detail.html,
Arduino,Arduino Attiny85 Digispark Usb,3,Gabienete Parte Inferior,https://www.vistronica.com/board-de-desarrollo/arduino/board/arduino-attiny85-digispark-usb-detail.html,
Arduino,Shield De Expansión Para Arduino™ Nano,5,Gabienete Parte Inferior,https://www.didacticaselectronicas.com.co/shop/screw-shield-nano-shield-de-expansion-para-arduino-tm-nano-15981#attr=,
Acelerante,Acelerante De Soldadura-15Ml (Flux),3,Gabienete Parte Inferior,https://www.didacticaselectronicas.com.co/shop/flu-15-acelerante-de-soldadura-15ml-5983#attr=,
Balanceador,Balanceador Bms Para Baterías 18650. 5A. 3 Celdas,10,Gabienete Parte Inferior,https://www.didacticaselectronicas.com.co/shop/xr-3s-18650-5a-balanceador-bms-para-baterias-18650-5a-3-celdas-23753#attr=,
Bases Circuito Integrado,Bases Circuito Integrado Dip De 14 Pines,20,Gabienete Parte Inferior,SIN ENLACE DE REFERENCIA,
Nan,Bases Circuito Integrado Dip De 16 Pines,20,Gabienete Parte Inferior,SIN ENLACE DE REFERENCIA,
Nan,Bases Circuito Integrado Dip De 8 Pines,20,Gabienete Parte Inferior,SIN ENLACE DE REFERENCIA,
Bateria Cuadrada,Bateria Cuadrada  Gp 170 Original 9V Recargable (Referencia E15-01B),0,Nan,https://www.vistronica.com/#q=Bateria%20cuadrada%20%20GP%20170%20Original%209v%20recargable%20(Referencia%20E15-01B)&from_user=&page=0&refinements=%5B%5D&numerics_refinements=%7B%7D&index_name=%22prestashop1763_all_es%22,
Board,Board Nodemcu Wifi Basado En Esp32 + Cable,30,Nan,https://www.vistronica.com/board-de-desarrollo/boardnodemcuwifibasadoenesp32-detail.html,
Board,Board Nodemcu Lua Wifi Basado En Esp8266/Esp12E,30,Nan,https://www.vistronica.com/board-de-desarrollo/board-nodemcu-lua-wifi-v1-0-basado-en-esp8266-detail.html,
Bombillo,Bombillo 120Vac Con Su Respectivo Plafón Y Cables De Conexión,1,Lockers,SIN ENLACE DE REFERENCIA,
Bombillo,Bombillo 12Vdc ,14,Lockers,SIN ENLACE DE REFERENCIA,
